state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence
1,40,RSN126_GAZLI_GAZ000,-0.006348594,195.6780177,150.0404741,-0.088513979,-0.140817189,950,0
1,40,RSN126_GAZLI_GAZ000,-0.013418196,234.0228156,153.0518625,-0.004180951,-0.117266689,1108,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.001675458,109.5490706,143.2731061,-0.001595631,-0.099137705,480,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.002540951,295.734272,150.0404741,-0.138653736,-0.128041719,943,0
1,40,RSN126_GAZLI_GAZ000,-0.006924702,122.514977,150.0404741,-0.004653117,-0.141000556,566,0
1,40,RSN126_GAZLI_GAZ000,-0.004290257,415.9713169,150.0404741,-0.002767078,-0.142372463,947,0
1,40,RSN126_GAZLI_GAZ000,-0.004573274,152.1056524,150.0404741,-0.002296425,-0.156665504,947,0
1,40,RSN126_GAZLI_GAZ000,-0.001881853,139.024302,146.3510343,-0.001734867,-0.10440138,574,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.011174057,230.4949562,153.0518625,-0.003086996,-0.160004721,1108,0
1,40,RSN126_GAZLI_GAZ000,-0.012145304,125.7125557,153.0518625,-0.003312561,-0.158319014,567,0
1,40,RSN126_GAZLI_GAZ000,-0.018953056,220.3821905,153.0518625,-0.004384825,-0.124047858,1113,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.004039682,554.0830601,150.0404741,-0.002399243,-0.156815596,946,0
1,40,RSN126_GAZLI_GAZ000,-0.007810013,123.7851844,150.3959328,-0.003157047,-0.145682776,566,0
1,40,RSN126_GAZLI_GAZ000,-0.012279378,288.4851094,153.0518625,-0.003308447,-0.116154084,1108,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.009978755,157.1467619,152.8781493,-0.002493532,-0.105078279,1067,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.005022649,198.9543604,150.0404741,-0.002861489,-0.146527911,948,0
1,40,RSN126_GAZLI_GAZ000,-0.003784311,178.6865691,150.0404741,-0.003003756,-0.142634763,945,0
1,40,RSN126_GAZLI_GAZ000,-0.004827606,77.6355709,150.0404741,-0.002271224,-0.156814237,434,0
1,40,RSN126_GAZLI_GAZ000,-0.005200754,120.1708093,150.0404741,-0.002892528,-0.147026334,565,0
1,40,RSN126_GAZLI_GAZ000,-0.011280385,182.2898092,153.0518625,-0.00447658,-0.147256641,1108,0
1,40,RSN126_GAZLI_GAZ000,-0.015436159,144.6346231,153.0518625,-0.003459118,-0.150344755,669,0
1,40,RSN126_GAZLI_GAZ000,-0.006623011,132.9282862,150.0404741,-0.006273516,-0.14024304,570,0
1,40,RSN126_GAZLI_GAZ000,-0.003426808,142.0033554,150.0404741,-0.003092042,-0.142706189,578,0
1,40,RSN126_GAZLI_GAZ000,-0.006721378,262.8189072,150.0404741,-0.001410412,-0.035064985,950,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.00763918,114.9187324,150.0404741,-0.003155714,-0.145665283,564,0
1,40,RSN126_GAZLI_GAZ000,-0.017687578,131.3115202,153.0518625,-0.004042773,-0.148684318,569,0
1,40,RSN126_GAZLI_GAZ000,-0.007766494,202.7136345,150.3959328,-0.003138032,-0.145750813,952,0
1,40,RSN126_GAZLI_GAZ000,-0.003650527,113.0805008,150.0404741,-0.14723477,-0.130570667,484,0
1,40,RSN126_GAZLI_GAZ000,-0.003914597,168.7300726,150.0404741,-0.002789582,-0.142533824,946,0
1,40,RSN126_GAZLI_GAZ000,-0.005178969,274.8762206,150.0404741,-0.0028935,-0.14704554,948,0
1,40,RSN126_GAZLI_GAZ000,-0.009641465,154.9526523,152.893604,-0.002927018,-0.104016763,1064,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.001441027,167.840898,139.2038119,-0.001333927,-0.077430191,575,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.003015314,71.94989932,150.0404741,-0.093697911,-0.112773046,76,0
1,40,RSN126_GAZLI_GAZ000,-0.006537735,160.1759791,150.0404741,-0.006231377,-0.140249898,950,0
1,40,RSN126_GAZLI_GAZ000,-0.005749224,110.8768597,150.0404741,-0.092334258,-0.144836565,482,0
1,40,RSN126_GAZLI_GAZ000,-0.011836756,213.2514257,153.0518625,-0.003152219,-0.169465897,1108,0
1,40,RSN126_GAZLI_GAZ000,-0.003562672,178.0467882,150.0404741,-0.002989433,-0.142536604,945,0
1,40,RSN126_GAZLI_GAZ000,-0.014624532,208.6331882,153.0518625,-0.003790641,-0.150538467,1110,0
1,40,RSN126_GAZLI_GAZ000,-0.013610485,116.6037339,153.0518625,-0.003181469,-0.155901649,564,0
1,40,RSN126_GAZLI_GAZ000,-0.005468811,184.5790874,150.0404741,-0.00275754,-0.14462628,949,0
1,40,RSN126_GAZLI_GAZ000,-0.007932634,90.38932105,150.5991122,-0.001603758,-0.031366377,466,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.010119992,164.7878571,153.0518625,-0.003129955,-0.161599251,1107,0
1,40,RSN126_GAZLI_GAZ000,-0.001369783,268.345373,136.7266516,-0.001326158,-0.063008704,573,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.00348744,207.393495,150.0404741,-0.002977882,-0.142853798,945,0
1,40,RSN126_GAZLI_GAZ000,-0.002218444,284.7841772,148.8561655,-0.139822676,-0.134007598,675,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.010731401,166.0718156,153.0518625,-0.003142093,-0.160089402,1107,0
1,40,RSN126_GAZLI_GAZ000,-0.002414815,98.44232453,150.0404741,-0.139522955,-0.131698986,471,0
1,40,RSN126_GAZLI_GAZ000,-0.005059353,227.8794262,150.0404741,-0.002861699,-0.146497505,948,0
1,40,RSN126_GAZLI_GAZ000,-0.002727586,254.0761907,150.0404741,-0.070134594,-0.112409937,943,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.014284572,85.82092716,153.0518625,-0.003506227,-0.150640885,463,0
1,35,RSN126_GAZLI_GAZ000,-0.006348594,195.6780177,152.9602899,-0.002528157,-0.135366939,1061,0
1,35,RSN126_GAZLI_GAZ000,-0.013418196,234.0228156,152.8356221,-0.00286463,-0.122471845,1107,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.001675458,109.5490706,144.1600001,-0.001625098,-0.098594326,562,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.002540951,295.734272,146.6889205,-0.002332824,-0.132506393,947,0
1,35,RSN126_GAZLI_GAZ000,-0.006924702,122.514977,152.8356221,-0.003061724,-0.136310142,566,0
1,35,RSN126_GAZLI_GAZ000,-0.004290257,415.9713169,146.6889205,-0.002185644,-0.134165317,952,0
1,35,RSN126_GAZLI_GAZ000,-0.004573274,152.1056524,146.6889205,-0.002384919,-0.134195917,953,0
1,35,RSN126_GAZLI_GAZ000,-0.001881853,139.024302,146.6889205,-0.001880983,-0.107391616,665,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.011174057,230.4949562,152.8356221,-0.002531396,-0.140498317,1106,0
1,35,RSN126_GAZLI_GAZ000,-0.012145304,125.7125557,152.8356221,-0.002503963,-0.036952638,568,FAILED
0,35,RSN126_GAZLI_GAZ000,-0.018953056,220.3821905,152.8356221,-0.00201179,-0.014094548,0,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.004039682,554.0830601,146.6889205,-0.002161675,-0.134804951,951,0
1,35,RSN126_GAZLI_GAZ000,-0.007810013,123.7851844,152.8356221,-0.002600961,-0.151593232,567,0
1,35,RSN126_GAZLI_GAZ000,-0.012279378,288.4851094,152.8356221,-0.00289173,-0.13478242,1106,0
1,35,RSN126_GAZLI_GAZ000,-0.009978755,157.1467619,152.8356221,-0.002519715,-0.11921921,1105,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.005022649,198.9543604,146.8882931,-0.001447233,-0.026813749,955,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.003784311,178.6865691,146.6889205,-0.002285174,-0.138355228,951,0
1,35,RSN126_GAZLI_GAZ000,-0.004827606,77.6355709,146.6889205,-0.00233404,-0.133824524,460,0
1,35,RSN126_GAZLI_GAZ000,-0.005200754,120.1708093,147.5150316,-0.002216223,-0.136325528,565,0
1,35,RSN126_GAZLI_GAZ000,-0.011280385,182.2898092,152.8356221,-0.00252692,-0.140986376,1106,0
1,35,RSN126_GAZLI_GAZ000,-0.015436159,144.6346231,152.8356221,-0.00201179,-0.014094548,669,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.006623011,132.9282862,152.561969,-0.00271015,-0.137665001,572,0
1,35,RSN126_GAZLI_GAZ000,-0.003426808,142.0033554,146.6889205,-0.002110891,-0.130903715,667,0
1,35,RSN126_GAZLI_GAZ000,-0.006721378,262.8189072,152.8356221,-0.003232792,-0.135742293,1102,0
1,35,RSN126_GAZLI_GAZ000,-0.00763918,114.9187324,152.8356221,-0.002612709,-0.116696586,564,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.017687578,131.3115202,152.8356221,-0.00201179,-0.014094548,571,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.007766494,202.7136345,152.8356221,-0.002602652,-0.150747138,1103,0
1,35,RSN126_GAZLI_GAZ000,-0.003650527,113.0805008,146.6889205,-0.002029138,-0.130379955,563,0
1,35,RSN126_GAZLI_GAZ000,-0.003914597,168.7300726,146.6889205,-0.002408804,-0.137388411,951,0
1,35,RSN126_GAZLI_GAZ000,-0.005178969,274.8762206,147.5150316,-0.002216596,-0.136320417,956,0
1,35,RSN126_GAZLI_GAZ000,-0.009641465,154.9526523,152.8356221,-0.00257451,-0.146730739,1104,0
1,35,RSN126_GAZLI_GAZ000,-0.001441027,167.840898,138.2351806,-0.001425416,-0.08415622,665,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.003015314,71.94989932,146.6889205,-0.002223359,-0.131944754,78,0
1,35,RSN126_GAZLI_GAZ000,-0.006537735,160.1759791,152.1645123,-0.002574456,-0.135307185,1063,0
1,35,RSN126_GAZLI_GAZ000,-0.005749224,110.8768597,152.9599231,-0.002264537,-0.136190618,563,0
1,35,RSN126_GAZLI_GAZ000,-0.011836756,213.2514257,152.8356221,-0.002583373,-0.140289581,1106,0
1,35,RSN126_GAZLI_GAZ000,-0.003562672,178.0467882,146.6889205,-0.133568117,-0.147628846,950,0
1,35,RSN126_GAZLI_GAZ000,-0.014624532,208.6331882,152.8356221,-0.002829933,-0.124912728,1108,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.013610485,116.6037339,152.8356221,-0.002844067,-0.134367195,564,0
1,35,RSN126_GAZLI_GAZ000,-0.005468811,184.5790874,151.4407669,-0.002199421,-0.136511742,958,0
1,35,RSN126_GAZLI_GAZ000,-0.007932634,90.38932105,152.8356221,-0.002569141,-0.149581264,468,0
1,35,RSN126_GAZLI_GAZ000,-0.010119992,164.7878571,152.8356221,-0.002517281,-0.120204003,1105,FAILED
0,35,RSN126_GAZLI_GAZ000,-0.001369783,268.345373,137.2682766,-0.001321627,-0.001363056,0,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.00348744,207.393495,146.6889205,-0.002106407,-0.130450958,950,0
1,35,RSN126_GAZLI_GAZ000,-0.002218444,284.7841772,146.6889205,-0.002210695,-0.082232848,947,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.010731401,166.0718156,152.8356221,-0.002572311,-0.141923092,1105,0
1,35,RSN126_GAZLI_GAZ000,-0.002414815,98.44232453,146.6889205,-0.002365573,-0.133031946,474,0
1,35,RSN126_GAZLI_GAZ000,-0.005059353,227.8794262,146.9892198,-0.002213274,-0.136578197,955,0
1,35,RSN126_GAZLI_GAZ000,-0.002727586,254.0761907,146.6889205,-0.002278998,-0.132268891,948,0
1,35,RSN126_GAZLI_GAZ000,-0.014284572,85.82092716,152.8356221,-0.002868158,-0.132997319,465,0
1,30,RSN126_GAZLI_GAZ000,-0.006348594,195.6780177,152.6839147,-0.00216954,-0.118836473,1101,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.013418196,234.0228156,152.6839147,-0.002126622,-0.112866344,1107,0
1,30,RSN126_GAZLI_GAZ000,-0.001675458,109.5490706,142.8652092,-0.001672942,-0.087514092,562,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.002540951,295.734272,150.4199927,-0.001795251,-0.11690866,914,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.006924702,122.514977,152.6839147,-0.002150599,-0.133858223,567,0
1,30,RSN126_GAZLI_GAZ000,-0.004290257,415.9713169,152.6839147,-0.001953152,-0.120274157,1063,0
1,30,RSN126_GAZLI_GAZ000,-0.004573274,152.1056524,152.6839147,-0.002214053,-0.119400034,918,0
1,30,RSN126_GAZLI_GAZ000,-0.001881853,139.024302,145.5533538,-0.001740619,-0.100392674,667,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.011174057,230.4949562,152.6839147,-0.002119352,-0.032230515,1106,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.012145304,125.7125557,152.6839147,-0.002119871,-0.112895184,570,0
1,30,RSN126_GAZLI_GAZ000,-0.018953056,220.3821905,152.6839147,-0.002159021,-0.112989501,1114,0
1,30,RSN126_GAZLI_GAZ000,-0.004039682,554.0830601,152.6839147,-0.00188285,-0.12054412,959,0
1,30,RSN126_GAZLI_GAZ000,-0.007810013,123.7851844,152.6839147,-0.002145692,-0.121492796,568,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.012279378,288.4851094,152.6839147,-0.002128203,-0.113112893,1107,0
1,30,RSN126_GAZLI_GAZ000,-0.009978755,157.1467619,152.6839147,-0.002149261,-0.113560509,1105,0
1,30,RSN126_GAZLI_GAZ000,-0.005022649,198.9543604,152.6839147,-0.002214383,-0.118365021,1099,0
1,30,RSN126_GAZLI_GAZ000,-0.003784311,178.6865691,152.6839147,-0.001967346,-0.118486751,957,0
1,30,RSN126_GAZLI_GAZ000,-0.004827606,77.6355709,152.6839147,-0.002211853,-0.118312726,461,0
1,30,RSN126_GAZLI_GAZ000,-0.005200754,120.1708093,152.6839147,-0.002200121,-0.118204468,566,0
1,30,RSN126_GAZLI_GAZ000,-0.011280385,182.2898092,152.6839147,-0.002122955,-0.112903177,1106,0
1,30,RSN126_GAZLI_GAZ000,-0.015436159,144.6346231,152.6839147,-0.00212903,-0.027813838,908,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.006623011,132.9282862,152.6839147,-0.002154946,-0.135183367,662,0
1,30,RSN126_GAZLI_GAZ000,-0.003426808,142.0033554,152.6839147,-0.001856073,-0.120018218,757,0
1,30,RSN126_GAZLI_GAZ000,-0.006721378,262.8189072,152.6839147,-0.117309621,-0.115340582,1101,0
1,30,RSN126_GAZLI_GAZ000,-0.00763918,114.9187324,152.6839147,-0.002146386,-0.128967646,564,0
1,30,RSN126_GAZLI_GAZ000,-0.017687578,131.3115202,152.6839147,-0.002133056,-0.112546915,662,0
1,30,RSN126_GAZLI_GAZ000,-0.007766494,202.7136345,152.6839147,-0.002145692,-0.128936615,1103,0
1,30,RSN126_GAZLI_GAZ000,-0.003650527,113.0805008,152.6839147,-0.001963273,-0.118343812,563,0
1,30,RSN126_GAZLI_GAZ000,-0.003914597,168.7300726,152.6839147,-0.001946156,-0.143601747,958,0
1,30,RSN126_GAZLI_GAZ000,-0.005178969,274.8762206,152.6839147,-0.002200121,-0.118202214,1099,0
1,30,RSN126_GAZLI_GAZ000,-0.009641465,154.9526523,152.6839147,-0.002079552,-0.107810326,1103,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.001441027,167.840898,139.5835831,-0.001437447,-0.087618627,668,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.003015314,71.94989932,152.4663657,-0.121441326,-0.122676096,81,0
1,30,RSN126_GAZLI_GAZ000,-0.006537735,160.1759791,152.6839147,-0.002162206,-0.13771818,1101,0
1,30,RSN126_GAZLI_GAZ000,-0.005749224,110.8768597,152.6839147,-0.002263979,-0.120489767,562,0
1,30,RSN126_GAZLI_GAZ000,-0.011836756,213.2514257,152.6839147,-0.002120313,-0.112902851,1107,0
1,30,RSN126_GAZLI_GAZ000,-0.003562672,178.0467882,152.6839147,-0.001972997,-0.118092345,955,0
1,30,RSN126_GAZLI_GAZ000,-0.014624532,208.6331882,152.6839147,-0.002132609,-0.112864898,1109,0
1,30,RSN126_GAZLI_GAZ000,-0.013610485,116.6037339,152.6839147,-0.002128683,-0.112863362,565,0
1,30,RSN126_GAZLI_GAZ000,-0.005468811,184.5790874,152.6839147,-0.002275889,-0.119611062,1099,0
1,30,RSN126_GAZLI_GAZ000,-0.007932634,90.38932105,152.6839147,-0.002143647,-0.128991715,471,0
1,30,RSN126_GAZLI_GAZ000,-0.010119992,164.7878571,152.6839147,-0.002144297,-0.113458758,1105,0
1,30,RSN126_GAZLI_GAZ000,-0.001369783,268.345373,136.6910495,-0.001348074,-0.073098349,665,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.00348744,207.393495,152.6839147,-0.001859842,-0.119907823,955,0
1,30,RSN126_GAZLI_GAZ000,-0.002218444,284.7841772,149.0178955,-0.001790236,-0.114161698,912,FAILED
1,30,RSN126_GAZLI_GAZ000,-0.010731401,166.0718156,152.6839147,-0.002127388,-0.113079274,1106,0
1,30,RSN126_GAZLI_GAZ000,-0.002414815,98.44232453,149.8013873,-0.001792342,-0.120644607,479,0
1,30,RSN126_GAZLI_GAZ000,-0.005059353,227.8794262,152.6839147,-0.002211294,-0.118485616,1099,0
1,30,RSN126_GAZLI_GAZ000,-0.002727586,254.0761907,151.3744361,-0.00186776,-0.124939454,916,0
1,30,RSN126_GAZLI_GAZ000,-0.014284572,85.82092716,152.6839147,-0.002121549,-0.112791318,467,0
1,25,RSN126_GAZLI_GAZ000,-0.006348594,195.6780177,152.0221768,-0.001940389,-0.113669569,1102,0
1,25,RSN126_GAZLI_GAZ000,-0.013418196,234.0228156,152.0221768,-0.001960129,-0.099558568,1111,0
1,25,RSN126_GAZLI_GAZ000,-0.001675458,109.5490706,143.5295835,-0.001535551,-0.09458912,563,FAILED
1,25,RSN126_GAZLI_GAZ000,-0.002540951,295.734272,150.5984056,-0.001684042,-0.111949841,914,0
1,25,RSN126_GAZLI_GAZ000,-0.006924702,122.514977,152.0221768,-0.001923841,-0.099343917,576,0
1,25,RSN126_GAZLI_GAZ000,-0.004290257,415.9713169,152.0221768,-0.00198123,-0.110685336,1099,0
1,25,RSN126_GAZLI_GAZ000,-0.004573274,152.1056524,152.0221768,-0.001969795,-0.110859981,1099,0
1,25,RSN126_GAZLI_GAZ000,-0.001881853,139.024302,146.3719142,-0.001553667,-0.113726694,904,FAILED
1,25,RSN126_GAZLI_GAZ000,-0.011174057,230.4949562,152.0221768,-0.001985045,-0.100047343,1109,0
1,25,RSN126_GAZLI_GAZ000,-0.012145304,125.7125557,152.0221768,-0.002178732,-0.100250191,660,0
0,25,RSN126_GAZLI_GAZ000,-0.018953056,220.3821905,152.0221768,-0.001784523,-0.011047497,0,FAILED
1,25,RSN126_GAZLI_GAZ000,-0.004039682,554.0830601,152.0221768,-0.00199515,-0.110653871,1098,0
1,25,RSN126_GAZLI_GAZ000,-0.007810013,123.7851844,152.0221768,-0.00191973,-0.099640013,659,0
1,25,RSN126_GAZLI_GAZ000,-0.012279378,288.4851094,152.0221768,-0.001976918,-0.100426114,1109,0
1,25,RSN126_GAZLI_GAZ000,-0.009978755,157.1467619,152.0221768,-0.001914051,-0.099300453,1107,0
1,25,RSN126_GAZLI_GAZ000,-0.005022649,198.9543604,152.0221768,-0.001965456,-0.117333801,1100,0
