state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence
1,40,RSN126_GAZLI_GAZ000,-0.021171901,128.8306094,153.0518625,-0.002313871,-0.018811002,568,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.02793027,111.8026338,153.0518625,-0.002313871,-0.018811002,483,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.011328892,198.4215371,153.0518625,-0.003077712,-0.159915624,1108,0
1,40,RSN126_GAZLI_GAZ000,-0.00407081,382.8113152,150.0404741,-0.002792241,-0.142569242,946,0
1,40,RSN126_GAZLI_GAZ000,-0.004953708,204.7451481,150.0404741,-0.00237885,-0.162247632,948,0
1,40,RSN126_GAZLI_GAZ000,-0.015052507,188.5467661,153.0518625,-0.003471174,-0.150421913,1110,0
1,40,RSN126_GAZLI_GAZ000,-0.005316149,160.2885023,150.0404741,-0.002761991,-0.145108772,948,0
1,40,RSN126_GAZLI_GAZ000,-0.002655183,142.3623731,150.0404741,-0.137899584,-0.128119165,579,0
1,40,RSN126_GAZLI_GAZ000,-0.003994213,133.4773132,150.0404741,-0.002351655,-0.157083763,570,0
1,40,RSN126_GAZLI_GAZ000,-0.002827078,216.4258391,150.0404741,-0.067894863,-0.111452343,943,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.009645753,183.3702499,152.893604,-0.002927018,-0.104016763,1064,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.005400777,174.8766434,150.0404741,-0.002752586,-0.144771764,949,0
1,40,RSN126_GAZLI_GAZ000,-0.009080385,152.4957299,153.1299814,-0.002292374,-0.152220599,958,0
1,40,RSN126_GAZLI_GAZ000,-0.0032032,101.9035643,150.0404741,-0.091542253,-0.113398731,474,0
1,40,RSN126_GAZLI_GAZ000,-0.008100516,134.3597946,151.2054033,-0.002435684,-0.14956164,571,0
1,40,RSN126_GAZLI_GAZ000,-0.003478512,266.1929348,150.0404741,-0.002975995,-0.142856284,945,0
1,40,RSN126_GAZLI_GAZ000,-0.005030764,240.6886127,150.0404741,-0.002264595,-0.156877499,948,0
1,40,RSN126_GAZLI_GAZ000,-0.003410312,210.3777484,150.0404741,-0.003090559,-0.142705962,945,0
1,40,RSN126_GAZLI_GAZ000,-0.009452124,177.4917533,153.3218271,-0.002446691,-0.162288354,1063,0
1,40,RSN126_GAZLI_GAZ000,-0.010137927,245.7422847,153.0518625,-0.003129955,-0.161545211,1107,0
1,40,RSN126_GAZLI_GAZ000,-0.0086778,149.778319,150.0404741,-0.105576433,-0.105529782,677,0
1,40,RSN126_GAZLI_GAZ000,-0.001730928,176.5428827,143.8272228,-0.001730215,-0.102666377,669,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.006096148,98.69142264,150.0404741,-0.003095333,-0.143112671,471,0
1,40,RSN126_GAZLI_GAZ000,-0.012558279,116.8824864,153.0518625,-0.002035101,-0.01110771,564,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.007085109,183.839773,150.0404741,-0.00218634,-0.160802343,950,0
1,40,RSN126_GAZLI_GAZ000,-0.00582967,139.6865221,150.0404741,-0.002847951,-0.144173241,575,0
1,40,RSN126_GAZLI_GAZ000,-0.001914989,253.9347218,146.3510343,-0.001860027,-0.11203975,671,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.004617871,154.4187883,150.0404741,-0.0023079,-0.157010013,947,0
1,40,RSN126_GAZLI_GAZ000,-0.006681333,172.0113299,150.0404741,-0.003051314,-0.146141558,950,0
1,40,RSN126_GAZLI_GAZ000,-0.001593506,213.4994866,143.2731061,-0.001475902,-0.093623944,667,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.019208921,186.0517269,153.0518625,-0.004385021,-0.14794879,1113,0
1,40,RSN126_GAZLI_GAZ000,-0.002931342,294.1159616,150.0404741,-0.094368672,-0.112400392,944,0
1,40,RSN126_GAZLI_GAZ000,-0.006884674,141.1388699,150.0404741,-0.002683888,-0.095981689,577,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.004262303,199.2903317,150.0404741,-0.002769865,-0.142627816,947,0
1,40,RSN126_GAZLI_GAZ000,-0.003895416,178.8626739,150.0404741,-0.002810541,-0.142571814,946,0
1,40,RSN126_GAZLI_GAZ000,-0.00790101,48.38569288,150.6055256,-0.133296591,-0.144155652,0,0
1,40,RSN126_GAZLI_GAZ000,-0.010350424,222.3581062,153.0518625,-0.003077154,-0.10602785,1107,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.00300104,181.6098648,150.0404741,-0.093697084,-0.112776224,944,0
1,40,RSN126_GAZLI_GAZ000,-0.002517315,158.3009328,150.0404741,-0.138842499,-0.128065923,943,0
1,40,RSN126_GAZLI_GAZ000,-0.005710256,212.1514345,150.0404741,-0.002799424,-0.144363176,949,0
1,40,RSN126_GAZLI_GAZ000,-0.007932782,202.5106056,150.5991122,-0.001603758,-0.031366377,952,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.002341931,167.8247919,149.8056014,-0.002300137,-0.11734308,678,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.003071322,324.5101682,150.0404741,-0.093469101,-0.113025024,944,0
1,40,RSN126_GAZLI_GAZ000,-0.002687751,191.9623414,150.0404741,-0.138330698,-0.12804393,943,0
1,40,RSN126_GAZLI_GAZ000,-0.008975381,117.9669626,153.2091051,-0.002157856,-0.152483107,565,0
1,40,RSN126_GAZLI_GAZ000,-0.007301498,253.338218,150.0404741,-0.001519398,-0.034555091,950,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.008547883,268.5179532,152.4044362,-0.002133439,-0.16367513,954,0
1,40,RSN126_GAZLI_GAZ000,-0.004413734,224.4671201,150.0404741,-0.002305778,-0.156708717,947,0
1,40,RSN126_GAZLI_GAZ000,-0.007741901,195.7626339,150.3520803,-0.003137414,-0.145764034,952,0
1,40,RSN126_GAZLI_GAZ000,-0.006812602,226.8864931,150.0404741,-0.115972927,-0.005958416,950,0
1,35,RSN126_GAZLI_GAZ000,-0.021171901,128.8306094,152.8356221,-0.00248684,-0.042411618,569,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.02793027,111.8026338,152.8356221,-0.00201179,-0.014094548,563,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.011328892,198.4215371,152.8356221,-0.00252794,-0.141073757,1106,0
1,35,RSN126_GAZLI_GAZ000,-0.00407081,382.8113152,146.6889205,-0.002170887,-0.134732434,951,0
1,35,RSN126_GAZLI_GAZ000,-0.004953708,204.7451481,146.6889205,-0.002338507,-0.134307909,955,0
1,35,RSN126_GAZLI_GAZ000,-0.015052507,188.5467661,152.8356221,-0.002823571,-0.13162538,1108,0
1,35,RSN126_GAZLI_GAZ000,-0.005316149,160.2885023,150.2145837,-0.002204089,-0.136562267,957,0
1,35,RSN126_GAZLI_GAZ000,-0.002655183,142.3623731,146.6889205,-0.002278667,-0.132514326,667,0
1,35,RSN126_GAZLI_GAZ000,-0.003994213,133.4773132,146.6889205,-0.002423983,-0.137005425,573,0
1,35,RSN126_GAZLI_GAZ000,-0.002827078,216.4258391,146.6889205,-0.002270702,-0.119533148,948,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.009645753,183.3702499,152.8356221,-0.00257451,-0.146730739,1104,0
1,35,RSN126_GAZLI_GAZ000,-0.005400777,174.8766434,149.7281661,-0.002213825,-0.136433374,957,0
1,35,RSN126_GAZLI_GAZ000,-0.009080385,152.4957299,152.8356221,-0.002547408,-0.147329297,1100,0
1,35,RSN126_GAZLI_GAZ000,-0.0032032,101.9035643,146.6889205,-0.0022344,-0.131082023,477,0
1,35,RSN126_GAZLI_GAZ000,-0.008100516,134.3597946,152.8356221,-0.00256763,-0.149186422,573,0
1,35,RSN126_GAZLI_GAZ000,-0.003478512,266.1929348,146.6889205,-0.002105542,-0.130451404,950,0
1,35,RSN126_GAZLI_GAZ000,-0.005030764,240.6886127,146.9892198,-0.002213682,-0.13657695,955,0
1,35,RSN126_GAZLI_GAZ000,-0.003410312,210.3777484,146.6889205,-0.00211721,-0.130882821,950,0
1,35,RSN126_GAZLI_GAZ000,-0.009452124,177.4917533,152.8356221,-0.002582425,-0.14712673,1104,0
1,35,RSN126_GAZLI_GAZ000,-0.010137927,245.7422847,152.8356221,-0.002517281,-0.145346352,1105,0
1,35,RSN126_GAZLI_GAZ000,-0.0086778,149.778319,152.8356221,-0.002553448,-0.148840151,1097,0
1,35,RSN126_GAZLI_GAZ000,-0.001730928,176.5428827,144.9094456,-0.001687053,-0.100123903,670,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.006096148,98.69142264,152.7754054,-0.002434712,-0.136243358,474,0
1,35,RSN126_GAZLI_GAZ000,-0.012558279,116.8824864,152.8356221,-0.002939405,-0.121788633,564,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.007085109,183.839773,152.8356221,-0.002662246,-0.152482885,1102,0
1,35,RSN126_GAZLI_GAZ000,-0.00582967,139.6865221,152.9599231,-0.002261436,-0.136093289,665,0
1,35,RSN126_GAZLI_GAZ000,-0.001914989,253.9347218,146.6889205,-0.00189813,-0.107499737,764,FAILED
1,35,RSN126_GAZLI_GAZ000,-0.004617871,154.4187883,146.6889205,-0.002382959,-0.119498758,954,FAILED
