state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha
0,40,RSN126_GAZLI_GAZ000,-0.02121554,284.1406411,153.0518625,-0.002313871,-0.018811002,0,FAILED,2,1.333
1,40,RSN126_GAZLI_GAZ000,-0.001696869,367.3462183,143.8272228,-0.001641393,-0.1003193,669,FAILED,-2,2
1,40,RSN126_GAZLI_GAZ000,-0.002585132,367.3462183,150.0404741,-0.038587598,-0.093029944,943,FAILED,-1.333,2
1,40,RSN126_GAZLI_GAZ000,-0.003938374,367.3462183,150.0404741,-0.002763972,-0.142649565,946,0,-0.667,2
1,40,RSN126_GAZLI_GAZ000,-0.006,367.3462183,150.0404741,-0.003016505,-0.143741657,950,0,0,2
1,40,RSN126_GAZLI_GAZ000,-0.009140828,367.3462183,153.1793903,-0.002340567,-0.162482047,1061,0,0.667,2
1,40,RSN126_GAZLI_GAZ000,-0.013925789,367.3462183,153.0518625,-0.003229992,-0.118992403,1108,FAILED,1.333,2
0,40,RSN126_GAZLI_GAZ000,-0.02121554,367.3462183,153.0518625,-0.002313871,-0.018811002,0,FAILED,2,2
1,35,RSN126_GAZLI_GAZ000,-0.001696869,78.67237653,144.9094456,-0.001619975,-0.098164741,460,FAILED,-2,-2
1,35,RSN126_GAZLI_GAZ000,-0.002585132,78.67237653,146.6889205,-0.002327816,-0.132528492,460,0,-1.333,-2
1,35,RSN126_GAZLI_GAZ000,-0.003938374,78.67237653,146.6889205,-0.002404523,-0.137377739,460,0,-0.667,-2
1,35,RSN126_GAZLI_GAZ000,-0.006,78.67237653,152.6617315,-0.00258715,-0.134877395,460,0,0,-2
1,35,RSN126_GAZLI_GAZ000,-0.009140828,78.67237653,152.8356221,-0.002586127,-0.147956187,460,0,0.667,-2
1,35,RSN126_GAZLI_GAZ000,-0.013925789,78.67237653,152.8356221,-0.002857386,-0.133884484,460,0,1.333,-2
1,35,RSN126_GAZLI_GAZ000,-0.02121554,78.67237653,152.8356221,-0.002718663,-0.128516799,460,FAILED,2,-2
1,35,RSN126_GAZLI_GAZ000,-0.001696869,101.710195,144.9094456,-0.001619975,-0.098164741,477,FAILED,-2,-1.333
1,35,RSN126_GAZLI_GAZ000,-0.002585132,101.710195,146.6889205,-0.002327816,-0.132528492,477,0,-1.333,-1.333
1,35,RSN126_GAZLI_GAZ000,-0.003938374,101.710195,146.6889205,-0.002404523,-0.137377739,477,0,-0.667,-1.333
1,35,RSN126_GAZLI_GAZ000,-0.006,101.710195,152.6617315,-0.00258715,-0.134877395,477,0,0,-1.333
1,35,RSN126_GAZLI_GAZ000,-0.009140828,101.710195,152.8356221,-0.002586127,-0.147956187,477,0,0.667,-1.333
1,35,RSN126_GAZLI_GAZ000,-0.013925789,101.710195,152.8356221,-0.002857386,-0.133884484,477,0,1.333,-1.333
1,35,RSN126_GAZLI_GAZ000,-0.02121554,101.710195,152.8356221,-0.002718663,-0.128516799,477,FAILED,2,-1.333
1,35,RSN126_GAZLI_GAZ000,-0.001696869,131.4942324,144.9094456,-0.001619975,-0.098164741,571,FAILED,-2,-0.667
1,35,RSN126_GAZLI_GAZ000,-0.002585132,131.4942324,146.6889205,-0.002327816,-0.132528492,571,0,-1.333,-0.667
1,35,RSN126_GAZLI_GAZ000,-0.003938374,131.4942324,146.6889205,-0.002404523,-0.137377739,571,0,-0.667,-0.667
1,35,RSN126_GAZLI_GAZ000,-0.006,131.4942324,152.6617315,-0.00258715,-0.134877395,571,0,0,-0.667
1,35,RSN126_GAZLI_GAZ000,-0.009140828,131.4942324,152.8356221,-0.002586127,-0.147956187,571,0,0.667,-0.667
1,35,RSN126_GAZLI_GAZ000,-0.013925789,131.4942324,152.8356221,-0.002857386,-0.133884484,571,0,1.333,-0.667
1,35,RSN126_GAZLI_GAZ000,-0.02121554,131.4942324,152.8356221,-0.002718663,-0.128516799,571,FAILED,2,-0.667
1,35,RSN126_GAZLI_GAZ000,-0.001696869,170,144.9094456,-0.001619975,-0.098164741,670,FAILED,-2,0
1,35,RSN126_GAZLI_GAZ000,-0.002585132,170,146.6889205,-0.002327816,-0.132528492,947,0,-1.333,0
1,35,RSN126_GAZLI_GAZ000,-0.003938374,170,146.6889205,-0.002404523,-0.137377739,951,0,-0.667,0
1,35,RSN126_GAZLI_GAZ000,-0.006,170,152.6617315,-0.00258715,-0.134877395,1058,0,0,0
1,35,RSN126_GAZLI_GAZ000,-0.009140828,170,152.8356221,-0.002586127,-0.147956187,1104,0,0.667,0
1,35,RSN126_GAZLI_GAZ000,-0.013925789,170,152.8356221,-0.002857386,-0.133884484,1107,0,1.333,0
1,35,RSN126_GAZLI_GAZ000,-0.02121554,170,152.8356221,-0.002718663,-0.128516799,1112,FAILED,2,0
1,35,RSN126_GAZLI_GAZ000,-0.001696869,219.7815028,144.9094456,-0.001619975,-0.098164741,670,FAILED,-2,0.667
1,35,RSN126_GAZLI_GAZ000,-0.002585132,219.7815028,146.6889205,-0.002327816,-0.132528492,947,0,-1.333,0.667
1,35,RSN126_GAZLI_GAZ000,-0.003938374,219.7815028,146.6889205,-0.002404523,-0.137377739,951,0,-0.667,0.667
1,35,RSN126_GAZLI_GAZ000,-0.006,219.7815028,152.6617315,-0.00258715,-0.134877395,1058,0,0,0.667
1,35,RSN126_GAZLI_GAZ000,-0.009140828,219.7815028,152.8356221,-0.002586127,-0.147956187,1104,0,0.667,0.667
1,35,RSN126_GAZLI_GAZ000,-0.013925789,219.7815028,152.8356221,-0.002857386,-0.133884484,1107,0,1.333,0.667
1,35,RSN126_GAZLI_GAZ000,-0.02121554,219.7815028,152.8356221,-0.002718663,-0.128516799,1112,FAILED,2,0.667
1,35,RSN126_GAZLI_GAZ000,-0.001696869,284.1406411,144.9094456,-0.001619975,-0.098164741,670,FAILED,-2,1.333
1,35,RSN126_GAZLI_GAZ000,-0.002585132,284.1406411,146.6889205,-0.002327816,-0.132528492,947,0,-1.333,1.333
1,35,RSN126_GAZLI_GAZ000,-0.003938374,284.1406411,146.6889205,-0.002404523,-0.137377739,951,0,-0.667,1.333
1,35,RSN126_GAZLI_GAZ000,-0.006,284.1406411,152.6617315,-0.00258715,-0.134877395,1058,0,0,1.333
1,35,RSN126_GAZLI_GAZ000,-0.009140828,284.1406411,152.8356221,-0.002586127,-0.147956187,1104,0,0.667,1.333
1,35,RSN126_GAZLI_GAZ000,-0.013925789,284.1406411,152.8356221,-0.002857386,-0.133884484,1107,0,1.333,1.333
1,35,RSN126_GAZLI_GAZ000,-0.02121554,284.1406411,152.8356221,-0.002718663,-0.128516799,1112,FAILED,2,1.333
1,35,RSN126_GAZLI_GAZ000,-0.001696869,367.3462183,144.9094456,-0.001619975,-0.098164741,670,FAILED,-2,2
1,35,RSN126_GAZLI_GAZ000,-0.002585132,367.3462183,146.6889205,-0.002327816,-0.132528492,947,0,-1.333,2
1,35,RSN126_GAZLI_GAZ000,-0.003938374,367.3462183,146.6889205,-0.002404523,-0.137377739,951,0,-0.667,2
1,35,RSN126_GAZLI_GAZ000,-0.006,367.3462183,152.6617315,-0.00258715,-0.134877395,1058,0,0,2
1,35,RSN126_GAZLI_GAZ000,-0.009140828,367.3462183,152.8356221,-0.002586127,-0.147956187,1104,0,0.667,2
1,35,RSN126_GAZLI_GAZ000,-0.013925789,367.3462183,152.8356221,-0.002857386,-0.133884484,1107,0,1.333,2
1,35,RSN126_GAZLI_GAZ000,-0.02121554,367.3462183,152.8356221,-0.002718663,-0.128516799,1112,FAILED,2,2
1,30,RSN126_GAZLI_GAZ000,-0.001696869,78.67237653,142.8652092,-0.00166225,-0.089280451,461,FAILED,-2,-2
1,30,RSN126_GAZLI_GAZ000,-0.002585132,78.67237653,150.9355791,-0.00179912,-0.116866259,461,0,-1.333,-2
1,30,RSN126_GAZLI_GAZ000,-0.003938374,78.67237653,152.6839147,-0.001953733,-0.118710731,461,0,-0.667,-2
1,30,RSN126_GAZLI_GAZ000,-0.006,78.67237653,152.6839147,-0.002183968,-0.139177153,461,0,0,-2
1,30,RSN126_GAZLI_GAZ000,-0.009140828,78.67237653,152.6839147,-0.002146563,-0.113910485,461,0,0.667,-2
1,30,RSN126_GAZLI_GAZ000,-0.013925789,78.67237653,152.6839147,-0.002123474,-0.112758301,461,0,1.333,-2
1,30,RSN126_GAZLI_GAZ000,-0.02121554,78.67237653,152.6839147,-0.002150479,-0.113252392,461,0,2,-2
1,30,RSN126_GAZLI_GAZ000,-0.001696869,101.710195,142.8652092,-0.00166225,-0.089280451,483,FAILED,-2,-1.333
1,30,RSN126_GAZLI_GAZ000,-0.002585132,101.710195,150.9355791,-0.00179912,-0.116866259,483,0,-1.333,-1.333
1,30,RSN126_GAZLI_GAZ000,-0.003938374,101.710195,152.6839147,-0.001953733,-0.118710731,483,0,-0.667,-1.333
1,30,RSN126_GAZLI_GAZ000,-0.006,101.710195,152.6839147,-0.002183968,-0.139177153,483,0,0,-1.333
1,30,RSN126_GAZLI_GAZ000,-0.009140828,101.710195,152.6839147,-0.002146563,-0.113910485,483,0,0.667,-1.333
1,30,RSN126_GAZLI_GAZ000,-0.013925789,101.710195,152.6839147,-0.002123474,-0.112758301,483,0,1.333,-1.333
1,30,RSN126_GAZLI_GAZ000,-0.02121554,101.710195,152.6839147,-0.002150479,-0.113252392,483,0,2,-1.333
1,30,RSN126_GAZLI_GAZ000,-0.001696869,131.4942324,142.8652092,-0.00166225,-0.089280451,662,FAILED,-2,-0.667
1,30,RSN126_GAZLI_GAZ000,-0.002585132,131.4942324,150.9355791,-0.00179912,-0.116866259,662,0,-1.333,-0.667
1,30,RSN126_GAZLI_GAZ000,-0.003938374,131.4942324,152.6839147,-0.001953733,-0.118710731,662,0,-0.667,-0.667
1,30,RSN126_GAZLI_GAZ000,-0.006,131.4942324,152.6839147,-0.002183968,-0.139177153,662,0,0,-0.667
1,30,RSN126_GAZLI_GAZ000,-0.009140828,131.4942324,152.6839147,-0.002146563,-0.113910485,662,0,0.667,-0.667
1,30,RSN126_GAZLI_GAZ000,-0.013925789,131.4942324,152.6839147,-0.002123474,-0.112758301,662,0,1.333,-0.667
1,30,RSN126_GAZLI_GAZ000,-0.02121554,131.4942324,152.6839147,-0.002150479,-0.113252392,662,0,2,-0.667
1,30,RSN126_GAZLI_GAZ000,-0.001696869,170,142.8652092,-0.00166225,-0.089280451,907,FAILED,-2,0
1,30,RSN126_GAZLI_GAZ000,-0.002585132,170,150.9355791,-0.00179912,-0.116866259,915,0,-1.333,0
1,30,RSN126_GAZLI_GAZ000,-0.003938374,170,152.6839147,-0.001953733,-0.118710731,958,0,-0.667,0
1,30,RSN126_GAZLI_GAZ000,-0.006,170,152.6839147,-0.002183968,-0.139177153,1100,0,0,0
1,30,RSN126_GAZLI_GAZ000,-0.009140828,170,152.6839147,-0.002146563,-0.113910485,1104,0,0.667,0
1,30,RSN126_GAZLI_GAZ000,-0.013925789,170,152.6839147,-0.002123474,-0.112758301,1108,0,1.333,0
1,30,RSN126_GAZLI_GAZ000,-0.02121554,170,152.6839147,-0.002150479,-0.113252392,1117,0,2,0
1,30,RSN126_GAZLI_GAZ000,-0.001696869,219.7815028,142.8652092,-0.00166225,-0.089280451,907,FAILED,-2,0.667
1,30,RSN126_GAZLI_GAZ000,-0.002585132,219.7815028,150.9355791,-0.00179912,-0.116866259,915,0,-1.333,0.667
1,30,RSN126_GAZLI_GAZ000,-0.003938374,219.7815028,152.6839147,-0.001953733,-0.118710731,958,0,-0.667,0.667
1,30,RSN126_GAZLI_GAZ000,-0.006,219.7815028,152.6839147,-0.002183968,-0.139177153,1100,0,0,0.667
1,30,RSN126_GAZLI_GAZ000,-0.009140828,219.7815028,152.6839147,-0.002146563,-0.113910485,1104,0,0.667,0.667
1,30,RSN126_GAZLI_GAZ000,-0.013925789,219.7815028,152.6839147,-0.002123474,-0.112758301,1108,0,1.333,0.667
1,30,RSN126_GAZLI_GAZ000,-0.02121554,219.7815028,152.6839147,-0.002150479,-0.113252392,1117,0,2,0.667
1,30,RSN126_GAZLI_GAZ000,-0.001696869,284.1406411,142.8652092,-0.00166225,-0.089280451,907,FAILED,-2,1.333
1,30,RSN126_GAZLI_GAZ000,-0.002585132,284.1406411,150.9355791,-0.00179912,-0.116866259,915,0,-1.333,1.333
1,30,RSN126_GAZLI_GAZ000,-0.003938374,284.1406411,152.6839147,-0.001953733,-0.118710731,958,0,-0.667,1.333
1,30,RSN126_GAZLI_GAZ000,-0.006,284.1406411,152.6839147,-0.002183968,-0.139177153,1100,0,0,1.333
1,30,RSN126_GAZLI_GAZ000,-0.009140828,284.1406411,152.6839147,-0.002146563,-0.113910485,1104,0,0.667,1.333
1,30,RSN126_GAZLI_GAZ000,-0.013925789,284.1406411,152.6839147,-0.002123474,-0.112758301,1108,0,1.333,1.333
1,30,RSN126_GAZLI_GAZ000,-0.02121554,284.1406411,152.6839147,-0.002150479,-0.113252392,1117,0,2,1.333
1,30,RSN126_GAZLI_GAZ000,-0.001696869,367.3462183,142.8652092,-0.00166225,-0.089280451,907,FAILED,-2,2
1,30,RSN126_GAZLI_GAZ000,-0.002585132,367.3462183,150.9355791,-0.00179912,-0.116866259,915,0,-1.333,2
1,30,RSN126_GAZLI_GAZ000,-0.003938374,367.3462183,152.6839147,-0.001953733,-0.118710731,958,0,-0.667,2
1,30,RSN126_GAZLI_GAZ000,-0.006,367.3462183,152.6839147,-0.002183968,-0.139177153,1100,0,0,2
1,30,RSN126_GAZLI_GAZ000,-0.009140828,367.3462183,152.6839147,-0.002146563,-0.113910485,1104,0,0.667,2
1,30,RSN126_GAZLI_GAZ000,-0.013925789,367.3462183,152.6839147,-0.002123474,-0.112758301,1108,0,1.333,2
1,30,RSN126_GAZLI_GAZ000,-0.02121554,367.3462183,152.6839147,-0.002150479,-0.113252392,1117,0,2,2
1,25,RSN126_GAZLI_GAZ000,-0.001696869,78.67237653,143.5295835,-0.001539087,-0.095239778,463,FAILED,-2,-2
1,25,RSN126_GAZLI_GAZ000,-0.002585132,78.67237653,150.9657039,-0.001675628,-0.111592638,463,0,-1.333,-2
1,25,RSN126_GAZLI_GAZ000,-0.003938374,78.67237653,152.0221768,-0.001996897,-0.111067505,463,0,-0.667,-2
1,25,RSN126_GAZLI_GAZ000,-0.006,78.67237653,152.0221768,-0.001944169,-0.113191643,463,0,0,-2
1,25,RSN126_GAZLI_GAZ000,-0.009140828,78.67237653,152.0221768,-0.002001548,-0.097805549,463,0,0.667,-2
1,25,RSN126_GAZLI_GAZ000,-0.013925789,78.67237653,152.0221768,-0.002021779,-0.096495189,463,0,1.333,-2
1,25,RSN126_GAZLI_GAZ000,-0.02121554,78.67237653,152.0221768,-0.001926247,-0.020370917,463,0,2,-2
1,25,RSN126_GAZLI_GAZ000,-0.001696869,101.710195,143.5295835,-0.001539087,-0.095239778,559,FAILED,-2,-1.333
1,25,RSN126_GAZLI_GAZ000,-0.002585132,101.710195,150.9657039,-0.001675628,-0.111592638,559,0,-1.333,-1.333
1,25,RSN126_GAZLI_GAZ000,-0.003938374,101.710195,152.0221768,-0.001996897,-0.111067505,559,0,-0.667,-1.333
1,25,RSN126_GAZLI_GAZ000,-0.006,101.710195,152.0221768,-0.001944169,-0.113191643,559,0,0,-1.333
1,25,RSN126_GAZLI_GAZ000,-0.009140828,101.710195,152.0221768,-0.002001548,-0.097805549,559,0,0.667,-1.333
1,25,RSN126_GAZLI_GAZ000,-0.013925789,101.710195,152.0221768,-0.002021779,-0.096495189,559,0,1.333,-1.333
1,25,RSN126_GAZLI_GAZ000,-0.02121554,101.710195,152.0221768,-0.001926247,-0.020370917,559,0,2,-1.333
1,25,RSN126_GAZLI_GAZ000,-0.001696869,131.4942324,143.5295835,-0.001539087,-0.095239778,667,FAILED,-2,-0.667
1,25,RSN126_GAZLI_GAZ000,-0.002585132,131.4942324,150.9657039,-0.001675628,-0.111592638,667,0,-1.333,-0.667
1,25,RSN126_GAZLI_GAZ000,-0.003938374,131.4942324,152.0221768,-0.001996897,-0.111067505,667,0,-0.667,-0.667
1,25,RSN126_GAZLI_GAZ000,-0.006,131.4942324,152.0221768,-0.001944169,-0.113191643,667,0,0,-0.667
1,25,RSN126_GAZLI_GAZ000,-0.009140828,131.4942324,152.0221768,-0.002001548,-0.097805549,667,0,0.667,-0.667
1,25,RSN126_GAZLI_GAZ000,-0.013925789,131.4942324,152.0221768,-0.002021779,-0.096495189,667,0,1.333,-0.667
1,25,RSN126_GAZLI_GAZ000,-0.02121554,131.4942324,152.0221768,-0.001926247,-0.020370917,667,0,2,-0.667
1,25,RSN126_GAZLI_GAZ000,-0.001696869,170,143.5295835,-0.001539087,-0.095239778,906,FAILED,-2,0
