state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha
1,20,RSN126_GAZLI_GAZ000,-0.009164,174.4819,152.7461838,-0.001804891,-0.089085924,1106,0,1.414,0
1,15,RSN126_GAZLI_GAZ000,-0.003667,174.4819,151.7319308,-0.001581412,-0.090915094,0,0,-1.414,0
1,15,RSN126_GAZLI_GAZ000,-0.004356,137.1152,152.600153,-0.001571273,-0.084071968,987,0,-1,-1
1,15,RSN126_GAZLI_GAZ000,-0.004356,205.5083,152.600153,-0.001571273,-0.084071968,1094,0,-1,1
1,15,RSN126_GAZLI_GAZ000,-0.006019,121.6374,153.3141545,-0.001582314,-0.077677485,896,0,0,-1.414
1,15,RSN126_GAZLI_GAZ000,-0.006019,174.4819,153.3141545,-0.001582314,-0.077677485,1099,0,0,0
1,15,RSN126_GAZLI_GAZ000,-0.006019,218.3598,153.3141545,-0.001582314,-0.077677485,1099,0,0,1.414
1,15,RSN126_GAZLI_GAZ000,-0.008243,137.1152,153.3529399,-0.001638503,-0.00729964,987,0,1,-1
0,15,RSN126_GAZLI_GAZ000,-0.008243,205.5083,153.3529399,-0.001638503,-0.00729964,0,0,1,1
0,15,RSN126_GAZLI_GAZ000,-0.009164,174.4819,153.3529399,-0.001638503,-0.00729964,0,0,1.414,0
1,10,RSN126_GAZLI_GAZ000,-0.003667,174.4819,148.6090159,-0.001393623,-0.002098134,0,0,-1.414,0
1,10,RSN126_GAZLI_GAZ000,-0.004356,137.1152,148.6090159,-0.001393623,-0.002098134,986,0,-1,-1
0,10,RSN126_GAZLI_GAZ000,-0.004356,205.5083,148.6090159,-0.001393623,-0.002098134,0,0,-1,1
1,10,RSN126_GAZLI_GAZ000,-0.006019,121.6374,148.6090159,-0.001393623,-0.002098134,978,0,0,-1.414
0,10,RSN126_GAZLI_GAZ000,-0.006019,174.4819,148.6090159,-0.001393623,-0.002098134,0,0,0,0
0,10,RSN126_GAZLI_GAZ000,-0.006019,218.3598,148.6090159,-0.001393623,-0.002098134,0,0,0,1.414
1,10,RSN126_GAZLI_GAZ000,-0.008243,137.1152,148.6090159,-0.001393623,-0.002098134,986,0,1,-1
0,10,RSN126_GAZLI_GAZ000,-0.008243,205.5083,148.6090159,-0.001393623,-0.002098134,0,0,1,1
0,10,RSN126_GAZLI_GAZ000,-0.009164,174.4819,148.6090159,-0.001393623,-0.002098134,0,0,1.414,0
1,5,RSN126_GAZLI_GAZ000,-0.003667,174.4819,121.205346,-0.001225689,-0.001058113,0,0,-1.414,0
0,5,RSN126_GAZLI_GAZ000,-0.004356,137.1152,121.205346,-0.001225689,-0.001058113,0,0,-1,-1
0,5,RSN126_GAZLI_GAZ000,-0.004356,205.5083,121.205346,-0.001225689,-0.001058113,0,0,-1,1
0,5,RSN126_GAZLI_GAZ000,-0.006019,121.6374,121.205346,-0.001225689,-0.001058113,0,0,0,-1.414
0,5,RSN126_GAZLI_GAZ000,-0.006019,174.4819,121.205346,-0.001225689,-0.001058113,0,0,0,0
0,5,RSN126_GAZLI_GAZ000,-0.006019,218.3598,121.205346,-0.001225689,-0.001058113,0,0,0,1.414
0,5,RSN126_GAZLI_GAZ000,-0.008243,137.1152,121.205346,-0.001225689,-0.001058113,0,0,1,-1
0,5,RSN126_GAZLI_GAZ000,-0.008243,205.5083,121.205346,-0.001225689,-0.001058113,0,0,1,1
0,5,RSN126_GAZLI_GAZ000,-0.009164,174.4819,121.205346,-0.001225689,-0.001058113,0,0,1.414,0
1,40,RSN461_MORGAN_HVR240,-0.003667,174.4819,152.8737509,-0.111230356,-0.146372571,0,0,-1.414,0
1,40,RSN461_MORGAN_HVR240,-0.004356,137.1152,154.0804285,-0.10938176,-0.14519237,391,0,-1,-1
1,40,RSN461_MORGAN_HVR240,-0.004356,205.5083,154.0804285,-0.10938176,-0.14519237,404,0,-1,1
1,40,RSN461_MORGAN_HVR240,-0.006019,121.6374,154.2302576,-0.107545532,-0.147531672,388,0,0,-1.414
1,40,RSN461_MORGAN_HVR240,-0.006019,174.4819,154.2302576,-0.107545532,-0.147531672,408,0,0,0
1,40,RSN461_MORGAN_HVR240,-0.006019,218.3598,154.2302576,-0.107545532,-0.147531672,408,0,0,1.414
1,40,RSN461_MORGAN_HVR240,-0.008243,137.1152,154.2302576,-0.102780811,-0.145438038,391,0,1,-1
1,40,RSN461_MORGAN_HVR240,-0.008243,205.5083,154.2302576,-0.102780811,-0.145438038,414,0,1,1
1,40,RSN461_MORGAN_HVR240,-0.009164,174.4819,154.2302576,-0.001747158,-0.036407371,414,FAILED,1.414,0
1,35,RSN461_MORGAN_HVR240,-0.003667,174.4819,152.9741651,-0.103698962,-0.133069639,0,0,-1.414,0
1,35,RSN461_MORGAN_HVR240,-0.004356,137.1152,153.9378841,-0.098889557,-0.13624901,391,0,-1,-1
1,35,RSN461_MORGAN_HVR240,-0.004356,205.5083,153.9378841,-0.098889557,-0.13624901,407,0,-1,1
1,35,RSN461_MORGAN_HVR240,-0.006019,121.6374,154.2225729,-0.001587756,-0.035911782,388,FAILED,0,-1.414
1,35,RSN461_MORGAN_HVR240,-0.006019,174.4819,154.2225729,-0.001587756,-0.035911782,414,FAILED,0,0
1,35,RSN461_MORGAN_HVR240,-0.006019,218.3598,154.2225729,-0.001587756,-0.035911782,414,FAILED,0,1.414
1,35,RSN461_MORGAN_HVR240,-0.008243,137.1152,154.2225729,-0.007386577,-0.069051247,391,FAILED,1,-1
1,35,RSN461_MORGAN_HVR240,-0.008243,205.5083,154.2225729,-0.007386577,-0.069051247,579,FAILED,1,1
1,35,RSN461_MORGAN_HVR240,-0.009164,174.4819,154.2225729,-0.007402003,-0.065738797,580,FAILED,1.414,0
1,30,RSN461_MORGAN_HVR240,-0.003667,174.4819,153.2521063,-0.087832787,-0.123847535,0,0,-1.414,0
1,30,RSN461_MORGAN_HVR240,-0.004356,137.1152,154.0560072,-0.087624408,-0.12242921,393,0,-1,-1
1,30,RSN461_MORGAN_HVR240,-0.004356,205.5083,154.0560072,-0.087624408,-0.12242921,416,0,-1,1
1,30,RSN461_MORGAN_HVR240,-0.006019,121.6374,154.1959339,-0.091426443,-0.108692359,389,0,0,-1.414
1,30,RSN461_MORGAN_HVR240,-0.006019,174.4819,154.1959339,-0.091426443,-0.108692359,2088,0,0,0
1,30,RSN461_MORGAN_HVR240,-0.006019,218.3598,154.1959339,-0.091426443,-0.108692359,2088,0,0,1.414
1,30,RSN461_MORGAN_HVR240,-0.008243,137.1152,154.1959339,-0.082125919,-0.098835514,393,0,1,-1
1,30,RSN461_MORGAN_HVR240,-0.008243,205.5083,154.1959339,-0.082125919,-0.098835514,2092,0,1,1
1,30,RSN461_MORGAN_HVR240,-0.009164,174.4819,154.1959339,-0.080201354,-0.096778419,2093,0,1.414,0
1,25,RSN461_MORGAN_HVR240,-0.003667,174.4819,152.1468359,-0.002537159,-0.083631277,0,0,-1.414,0
1,25,RSN461_MORGAN_HVR240,-0.004356,137.1152,152.1468359,-0.002307981,-0.093989381,395,0,-1,-1
1,25,RSN461_MORGAN_HVR240,-0.004356,205.5083,152.1468359,-0.002307981,-0.093989381,2089,0,-1,1
1,25,RSN461_MORGAN_HVR240,-0.006019,121.6374,152.1468359,-0.00225928,-0.090463064,390,0,0,-1.414
1,25,RSN461_MORGAN_HVR240,-0.006019,174.4819,152.1468359,-0.00225928,-0.090463064,2093,0,0,0
1,25,RSN461_MORGAN_HVR240,-0.006019,218.3598,152.1468359,-0.00225928,-0.090463064,2093,0,0,1.414
1,25,RSN461_MORGAN_HVR240,-0.008243,137.1152,152.1468359,-0.002195669,-0.041049369,395,FAILED,1,-1
1,25,RSN461_MORGAN_HVR240,-0.008243,205.5083,152.1468359,-0.002195669,-0.041049369,2098,FAILED,1,1
1,25,RSN461_MORGAN_HVR240,-0.009164,174.4819,152.1468359,-0.002176553,-0.089483298,2098,0,1.414,0
1,20,RSN461_MORGAN_HVR240,-0.003667,174.4819,149.9783475,-0.001756347,-0.076685859,0,0,-1.414,0
1,20,RSN461_MORGAN_HVR240,-0.004356,137.1152,151.7583257,-0.001725823,-0.080225824,398,0,-1,-1
1,20,RSN461_MORGAN_HVR240,-0.004356,205.5083,151.7583257,-0.001725823,-0.080225824,2094,0,-1,1
1,20,RSN461_MORGAN_HVR240,-0.006019,121.6374,152.7416301,-0.001731814,-0.076632708,392,0,0,-1.414
1,20,RSN461_MORGAN_HVR240,-0.006019,174.4819,152.7416301,-0.001731814,-0.076632708,2099,0,0,0
1,20,RSN461_MORGAN_HVR240,-0.006019,218.3598,152.7416301,-0.001731814,-0.076632708,2099,0,0,1.414
1,20,RSN461_MORGAN_HVR240,-0.008243,137.1152,153.0220312,-0.001850046,-0.071966677,398,0,1,-1
1,20,RSN461_MORGAN_HVR240,-0.008243,205.5083,153.0220312,-0.001850046,-0.071966677,2107,0,1,1
1,20,RSN461_MORGAN_HVR240,-0.009164,174.4819,153.0220312,-0.001779308,-0.027953829,2108,0,1.414,0
1,15,RSN461_MORGAN_HVR240,-0.003667,174.4819,153.6818288,-0.001529403,-0.076384328,0,0,-1.414,0
1,15,RSN461_MORGAN_HVR240,-0.004356,137.1152,154.4982303,-0.001574296,-0.070767918,405,0,-1,-1
1,15,RSN461_MORGAN_HVR240,-0.004356,205.5083,154.4982303,-0.001574296,-0.070767918,2107,0,-1,1
1,15,RSN461_MORGAN_HVR240,-0.006019,121.6374,154.658954,-0.001591709,-0.014348917,396,0,0,-1.414
1,15,RSN461_MORGAN_HVR240,-0.006019,174.4819,154.658954,-0.001591709,-0.014348917,2192,0,0,0
