state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha,
1,40,RSN126_GAZLI_GAZ000,-0.007526163,221.3742491,150.0404741,-0.003177536,-0.145842393,951,0,0.666666667,1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.00944052,221.3742491,153.3218271,-0.002361492,-0.129268023,1063,FAILED,1.333333333,1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.011841815,221.3742491,153.0518625,-0.003152219,-0.084686339,1108,FAILED,2,1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.003040074,252.6191044,150.0404741,-0.093270237,-0.113045302,944,0,-2,2,
1,40,RSN126_GAZLI_GAZ000,-0.003813349,252.6191044,150.0404741,-0.002845736,-0.123332856,946,FAILED,-1.333333333,2,
1,40,RSN126_GAZLI_GAZ000,-0.004783314,252.6191044,150.0404741,-0.00227203,-0.156836566,947,0,-0.666666667,2,
1,40,RSN126_GAZLI_GAZ000,-0.006,252.6191044,150.0404741,-0.003016505,-0.143741657,950,0,0,2,
1,40,RSN126_GAZLI_GAZ000,-0.007526163,252.6191044,150.0404741,-0.003177536,-0.145842393,951,0,0.666666667,2,
1,40,RSN126_GAZLI_GAZ000,-0.00944052,252.6191044,153.3218271,-0.002361492,-0.129268023,1063,FAILED,1.333333333,2,
1,40,RSN126_GAZLI_GAZ000,-0.011841815,252.6191044,153.0518625,-0.003152219,-0.084686339,1108,FAILED,2,2,
1,35,RSN126_GAZLI_GAZ000,-0.003040074,114.4014823,146.6889205,-0.002225956,-0.121084237,563,FAILED,-2,-2,
1,35,RSN126_GAZLI_GAZ000,-0.003813349,114.4014823,146.6889205,-0.002341657,-0.137688081,563,0,-1.333333333,-2,
1,35,RSN126_GAZLI_GAZ000,-0.004783314,114.4014823,146.6889205,-0.002341434,-0.133915178,563,0,-0.666666667,-2,
1,35,RSN126_GAZLI_GAZ000,-0.006,114.4014823,152.6617315,-0.00258715,-0.134877395,563,0,0,-2,
1,35,RSN126_GAZLI_GAZ000,-0.007526163,114.4014823,152.8356221,-0.002908332,-0.136049848,563,0,0.666666667,-2,
1,35,RSN126_GAZLI_GAZ000,-0.00944052,114.4014823,152.8356221,-0.002582434,-0.147126732,563,0,1.333333333,-2,
1,35,RSN126_GAZLI_GAZ000,-0.011841815,114.4014823,152.8356221,-0.002492315,-0.038969802,563,FAILED,2,-2,
1,35,RSN126_GAZLI_GAZ000,-0.003040074,130.5481559,146.6889205,-0.002225956,-0.121084237,570,FAILED,-2,-1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.003813349,130.5481559,146.6889205,-0.002341657,-0.137688081,570,0,-1.333333333,-1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.004783314,130.5481559,146.6889205,-0.002341434,-0.133915178,570,0,-0.666666667,-1.333333333,
